Atu8066	Essential	-
Atu8080	Essential	-
Atu8126	Essential	-
Atu8148	Essential	-
Atu8175	Essential	-
Atu0426	Essential	hypothetical protein
Atu0452	Essential	hypothetical protein
Atu0453	Essential	hypothetical protein
Atu1431	Essential	hypothetical protein
Atu2049	Essential	tmRNA
Atu2523	Essential	hypothetical protein
Atu4474	Essential	COG0008="Glutamyl- and glutaminyl-tRNA synthetases";EC:6.1.1.17="Glutamate--tRNA ligase.";Gene_symbol="gltX";IMG_pathway="490: L-glutamate ligation to tRNA(Glu)";ITERM:00398="glutamyl-tRNA synthetase (EC 6.1.1.17)";KEGG_module="M00359: Aminoacyl-tRNA biosynthesis, eukaryotes";KO:K01885="glutamyl-tRNA synthetase [EC:6.1.1.17]";Metacyc="PWY-5188: tetrapyrrole biosynthesis I";TIGR00464="glutamyl-tRNA synthetase, bacterial family";pfam00749="tRNA-synt_1c"
Atu1873	Essential	COG0013="Alanyl-tRNA synthetase";EC:6.1.1.7="Alanine--tRNA ligase.";Fused_gene="Yes";Gene_symbol="alaS";IMG_pathway="487: L-alanine ligation to tRNA(Ala)";ITERM:00391="alanyl-tRNA synthetase (EC 6.1.1.7)";KEGG_module="M00359: Aminoacyl-tRNA biosynthesis, eukaryotes";KO:K01872="alanyl-tRNA synthetase [EC:6.1.1.7]";Metacyc="TRNA-CHARGING-PWY: tRNA charging";TIGR00344="alanine--tRNA ligase";pfam01411="tRNA-synt_2c";pfam02272="DHHA1";pfam07973="tRNA_SAD"
Atu0258	Essential	COG0016="Phenylalanyl-tRNA synthetase alpha subunit";EC:6.1.1.20="Phenylalanine--tRNA ligase.";Gene_symbol="pheS";ITERM:01968="phenylalanyl-tRNA synthetase, alpha subunit (EC 6.1.1.20)";KEGG_module="M00359: Aminoacyl-tRNA biosynthesis, eukaryotes";KO:K01889="phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]";Metacyc="TRNA-CHARGING-PWY: tRNA charging";TIGR00468="phenylalanyl-tRNA synthetase, alpha subunit";pfam01409="tRNA-synt_2d";pfam02912="Phe_tRNA-synt_N"
